Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
04.12.2014,"30,00","30,00","30,00","30,00","0,00",600,18.0,18.0
16.12.2014,"30,00","30,00","30,00","30,00","0,00",455,13.65,13.65
12.02.2015,"30,00","30,00","30,00","30,00","0,00",30,900.0,900.0
15.04.2015,"30,00","30,00","30,00","30,00","0,00",23,690.0,690.0
21.05.2015,"30,00","30,00","30,00","30,00","0,00",1.247,37.41,37.41
24.06.2015,"30,00","30,00","30,00","30,00","0,00",18,540.0,540.0
23.11.2015,"30,00","30,00","30,00","30,00","0,00",13,390.0,390.0
28.12.2015,"30,00","30,00","30,00","30,00","0,00",24,720.0,720.0
04.03.2016,"30,00","30,00","30,00","30,00","0,00",26,780.0,780.0
22.03.2016,"30,00","30,00","30,00","30,00","0,00",24,720.0,720.0
28.03.2016,"30,00","30,00","30,00","30,00","0,00",1.922,57.66,57.66
18.11.2016,"30,00","30,00","30,00","30,00","0,00",15,450.0,450.0
28.12.2016,"30,00","30,00","30,00","30,00","0,00",4.899,146.97,146.97
05.04.2017,"30,00","30,00","30,00","30,00","0,00",735,22.05,22.05
28.06.2017,"30,00","30,00","30,00","30,00","0,00",1.237,37.11,37.11
26.07.2017,"30,00","30,00","30,00","30,00","0,00",99,2.97,2.97
02.11.2017,"30,00","30,00","30,00","30,00","0,00",100,3.0,3.0
05.12.2017,"30,00","30,00","30,00","30,00","0,00",5.000,150.0,150.0
06.12.2017,"30,00","30,00","30,00","30,00","0,00",3.932,117.96,117.96
06.02.2018,"30,00","30,00","30,00","30,00","0,00",24,720.0,720.0
12.02.2018,"30,00","30,00","30,00","30,00","0,00",20,600.0,600.0
17.04.2018,"30,00","30,00","30,00","30,00","0,00",21,630.0,630.0
28.05.2018,"30,00","30,00","30,00","30,00","0,00",200,6.0,6.0
29.05.2018,"30,00","30,00","30,00","30,00","0,00",100,3.0,3.0
05.06.2018,"30,00","30,00","30,00","30,00","0,00",157,4.71,4.71
08.06.2018,"30,00","30,00","30,00","30,00","0,00",41,1.23,1.23
04.07.2018,"30,00","30,00","30,00","30,00","0,00",25,750.0,750.0
17.08.2018,"30,00","30,00","30,00","30,00","0,00",25,750.0,750.0
28.09.2018,"30,00","30,00","30,00","30,00","0,00",1.236,37.08,37.08
06.11.2018,"30,00","30,00","30,00","30,00","0,00",9,270.0,270.0
22.11.2018,"30,00","30,00","30,00","30,00","0,00",1.554,46.62,46.62
13.02.2019,"30,00","30,00","30,00","30,00","0,00",25,750.0,750.0
15.02.2019,"30,00","30,00","30,00","30,00","0,00",28,840.0,840.0
25.02.2019,"30,00","30,00","30,00","30,00","0,00",33,990.0,990.0
07.05.2019,"30,00","30,00","30,00","30,00","0,00",12,360.0,360.0
17.07.2019,"30,00","30,00","30,00","30,00","0,00",100,3.0,3.0
14.08.2019,"85,00","85,00","85,00","85,00","183,33",500,42.5,42.5
19.08.2019,"86,00","86,00","86,00","86,00","1,18",1.127,96.922,96.922
20.08.2019,"84,00","84,00","84,00","84,00","-2,33",634,53.256,53.256
02.10.2019,"60,00","60,00","60,00","60,00","-28,57",10,600.0,600.0
03.10.2019,"60,00","60,00","60,00","60,00","0,00",7.796,467.76,467.76
10.10.2019,"48,00","48,00","48,00","48,00","-20,00",50,2.4,2.4
23.12.2019,"48,00","48,00","48,00","48,00","0,00",438,21.024,21.024
03.02.2020,"48,00","48,00","48,00","48,00","0,00",24,1.152,1.152
19.02.2020,"48,00","48,00","48,00","48,00","0,00",21,1.008,1.008
21.02.2020,"48,00","48,00","48,00","48,00","0,00",15,720.0,720.0
12.03.2020,"48,00","48,00","48,00","48,00","0,00",439,21.072,21.072
20.03.2020,"48,00","48,00","48,00","48,00","0,00",2.886,138.528,138.528
29.05.2020,"68,00","68,00","68,00","68,00","41,67",896,60.928,60.928
14.10.2020,"68,00","68,00","68,00","68,00","0,00",890,60.52,60.52
15.10.2020,"68,00","68,00","68,00","68,00","0,00",3.240,220.32,220.32
23.02.2021,"50,00","50,00","50,00","50,00","-28,57",50,2.5,2.5
24.02.2021,"50,00","50,00","50,00","50,00","0,00",1.920,96.0,96.0
22.10.2021,"50,00","50,00","50,00","50,00","0,00",1.038,51.9,51.9
15.06.2022,"50,00","50,00","50,00","50,00","0,00",6.430,321.5,321.5
29.06.2022,"50,00","50,00","50,00","50,00","0,00",7.719,385.95,385.95
04.07.2022,"50,00","50,00","50,00","50,00","0,00",3.732,186.6,186.6
05.07.2022,"50,00","50,00","50,00","50,00","0,00",4.603,230.15,230.15
06.07.2022,"50,00","50,00","50,00","50,00","0,00",7.175,358.75,358.75
07.07.2022,"50,00","50,00","50,00","50,00","0,00",4.938,246.9,246.9
08.07.2022,"50,00","50,00","50,00","50,00","0,00",2.474,123.7,123.7
12.07.2022,"50,00","50,00","50,00","50,00","0,00",5.054,252.7,252.7
13.07.2022,"50,00","50,00","50,00","50,00","0,00",4.210,210.5,210.5
15.07.2022,"50,00","50,00","50,00","50,00","0,00",2.467,123.35,123.35
22.07.2022,"50,00","50,00","50,00","50,00","0,00",3.214,160.7,160.7
25.07.2022,"50,00","50,00","50,00","50,00","0,00",1.245,62.25,62.25
26.07.2022,"50,00","50,00","50,00","50,00","0,00",3.676,183.8,183.8
03.08.2022,"50,00","50,00","50,00","50,00","0,00",375,18.75,18.75
04.08.2022,"50,00","50,00","50,00","50,00","0,00",12.681,634.05,634.05
09.08.2022,"50,00","50,00","50,00","50,00","0,00",3.702,185.1,185.1
17.08.2022,"50,00","50,00","50,00","50,00","0,00",3.675,183.75,183.75
12.09.2022,"50,00","50,00","50,00","50,00","0,00",3.495,174.75,174.75
10.10.2022,"50,00","50,00","50,00","50,00","0,00",53,2.65,2.65
14.10.2022,"50,00","50,00","50,00","50,00","0,00",20,1.0,1.0
01.11.2022,"50,00","50,00","50,00","50,00","0,00",612,30.6,30.6
15.11.2022,"50,00","50,00","50,00","50,00","0,00",3.069,153.45,153.45
17.11.2022,"50,00","50,00","50,00","50,00","0,00",1.234,61.7,61.7
05.12.2022,"50,00","50,00","50,00","50,00","0,00",616,30.8,30.8
06.12.2022,"50,00","50,00","50,00","50,00","0,00",1.234,61.7,61.7
23.12.2022,"50,00","50,00","50,00","50,00","0,00",4.000,200.0,200.0
05.01.2023,"50,00","50,00","50,00","50,00","0,00",382,19.1,19.1
05.06.2023,"50,00","50,00","50,00","50,00","0,00",1.233,61.65,61.65
12.06.2023,"50,00","50,00","50,00","50,00","0,00",1.263,63.15,63.15
07.08.2023,"50,00","50,00","50,00","50,00","0,00",842,42.1,42.1
13.09.2023,"50,00","50,00","50,00","50,00","0,00",32,1.6,1.6
17.10.2023,"50,00","50,00","50,00","50,00","0,00",1.050,52.5,52.5
14.12.2023,"50,00","50,00","50,00","50,00","0,00",1.392,69.6,69.6
03.09.2024,"50,00","50,00","50,00","50,00","0,00",618,30.9,30.9
