Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
24.11.2014,"308,00","308,00","308,00","308,00","0,00",818,251.944,251.944
02.12.2014,"308,00","308,00","308,00","308,00","0,00",493,151.844,151.844
12.12.2014,"308,00","308,00","308,00","308,00","0,00",719,221.452,221.452
17.12.2014,"308,00","308,00","308,00","308,00","0,00",706,217.448,217.448
22.01.2015,"308,00","308,00","308,00","308,00","0,00",400,123.2,123.2
24.02.2015,"308,00","308,00","308,00","308,00","0,00",360,110.88,110.88
04.03.2015,"308,00","308,00","308,00","308,00","0,00",40,12.32,12.32
06.03.2015,"308,00","308,00","308,00","308,00","0,00",65,20.02,20.02
17.03.2015,"308,00","308,00","308,00","308,00","0,00",4,1.232,1.232
30.03.2015,"308,00","308,00","308,00","308,00","0,00",150,46.2,46.2
31.03.2015,"308,00","308,00","308,00","308,00","0,00",181,55.748,55.748
15.04.2015,"300,00","300,00","300,00","300,00","-2,60",52,15.6,15.6
21.05.2015,"308,00","308,00","308,00","308,00","2,67",669,206.052,206.052
02.06.2015,"300,00","300,00","300,00","300,00","-2,60",20,6.0,6.0
12.06.2015,"308,00","308,00","308,00","308,00","2,67",800,246.4,246.4
27.11.2015,"308,00","308,00","308,00","308,00","0,00",130,40.04,40.04
01.12.2015,"308,00","308,00","308,00","308,00","0,00",381,117.348,117.348
10.12.2015,"308,00","308,00","308,00","308,00","0,00",200,61.6,61.6
07.06.2016,"256,00","256,00","256,00","256,00","-16,88",506,129.536,129.536
09.06.2016,"160,00","160,00","160,00","160,00","-37,50",260,41.6,41.6
18.07.2016,"160,00","160,00","160,00","160,00","0,00",300,48.0,48.0
22.07.2016,"256,00","256,00","256,00","256,00","60,00",26,6.656,6.656
12.09.2016,"256,00","256,00","256,00","256,00","0,00",240,61.44,61.44
18.10.2016,"263,00","263,00","263,00","263,00","2,73",20,5.26,5.26
19.10.2016,"270,00","270,00","270,00","270,00","2,66",20,5.4,5.4
21.10.2016,"308,00","308,00","308,00","308,00","14,07",60,18.48,18.48
27.10.2016,"320,00","320,00","320,00","320,00","3,90",5,1.6,1.6
29.11.2016,"320,00","320,00","320,00","320,00","0,00",995,318.4,318.4
06.12.2016,"256,00","256,00","256,00","256,00","-20,00",2,512.0,512.0
07.12.2016,"205,00","205,00","205,00","205,00","-19,92",1.605,329.025,329.025
09.12.2016,"199,00","199,00","199,00","199,00","-2,93",2.031,404.169,404.169
26.12.2016,"184,00","184,00","184,00","184,00","-7,54",3.026,556.784,556.784
04.05.2017,"179,00","179,00","179,00","179,00","-2,72",609,109.011,109.011
09.05.2017,"174,00","174,00","174,00","174,00","-2,79",200,34.8,34.8
29.05.2017,"170,00","170,00","170,00","170,00","-2,30",577,98.09,98.09
05.07.2017,"170,00","170,00","170,00","170,00","0,00",150,25.5,25.5
13.10.2017,"170,00","170,00","170,00","170,00","0,00",400,68.0,68.0
26.10.2017,"170,00","170,00","170,00","170,00","0,00",75,12.75,12.75
31.10.2017,"170,00","170,00","170,00","170,00","0,00",400,68.0,68.0
04.12.2017,"170,00","170,00","170,00","170,00","0,00",1.024,174.08,174.08
08.03.2018,"170,00","170,00","170,00","170,00","0,00",323,54.91,54.91
13.09.2018,"170,00","170,00","170,00","170,00","0,00",4.182,710.94,710.94
14.12.2018,"170,00","170,00","170,00","170,00","0,00",3.249,552.33,552.33
20.12.2018,"170,00","170,00","170,00","170,00","0,00",712,121.04,121.04
03.01.2019,"120,00","120,00","120,00","120,00","-29,41",20,2.4,2.4
04.01.2019,"120,00","120,00","120,00","120,00","0,00",621,74.52,74.52
23.01.2019,"182,00","182,00","182,00","182,00","51,67",100,18.2,18.2
07.02.2019,"180,00","180,00","180,00","180,00","-1,10",356,64.08,64.08
13.03.2019,"180,00","180,00","180,00","180,00","0,00",1.638,294.84,294.84
01.04.2019,"180,00","180,00","180,00","180,00","0,00",311,55.98,55.98
04.04.2019,"180,00","180,00","180,00","180,00","0,00",201,36.18,36.18
12.04.2019,"180,00","180,00","180,00","180,00","0,00",243,43.74,43.74
16.04.2019,"180,00","180,00","180,00","180,00","0,00",1.574,283.32,283.32
28.05.2019,"198,00","198,00","198,00","198,00","10,00",4,792.0,792.0
29.05.2019,"253,00","253,00","253,00","253,00","27,78",5,1.265,1.265
30.05.2019,"311,00","311,00","311,00","311,00","22,92",5,1.555,1.555
24.06.2019,"302,00","302,00","302,00","302,00","-2,89",442,133.484,133.484
06.12.2019,"293,00","293,00","293,00","293,00","-2,98",100,29.3,29.3
09.09.2021,"335,00","335,00","335,00","335,00","14,33",10,3.35,3.35
14.03.2022,"309,00","309,00","309,00","309,00","-7,76",5,1.545,1.545
30.01.2024,"309,00","309,00","309,00","309,00","0,00",1.090,336.81,336.81
07.02.2024,"309,00","309,00","309,00","309,00","0,00",439,135.651,135.651
