Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
12.05.2016,"201,00","201,00","201,00","201,00","0,00",24,4.824,4.824
06.06.2017,"600,00","600,00","600,00","600,00","198,51",46,27.6,27.6
12.06.2017,"600,00","600,00","600,00","600,00","0,00",85,51.0,51.0
31.05.2018,"600,00","600,00","600,00","600,00","0,00",144,86.4,86.4
09.07.2018,"608,00","608,00","608,00","608,00","1,33",144,87.552,87.552
13.07.2018,"608,00","608,00","608,00","608,00","0,00",43,26.144,26.144
21.08.2018,"590,00","590,00","590,00","590,00","-2,96",40,23.6,23.6
22.08.2018,"590,00","590,00","590,00","590,00","0,00",69,40.71,40.71
23.08.2018,"590,00","590,00","590,00","590,00","0,00",38,22.42,22.42
24.08.2018,"590,00","590,00","590,00","590,00","0,00",85,50.15,50.15
27.08.2018,"590,00","590,00","590,00","590,00","0,00",74,43.66,43.66
29.08.2018,"590,00","590,00","590,00","590,00","0,00",61,35.99,35.99
31.08.2018,"590,00","590,00","590,00","590,00","0,00",108,63.72,63.72
03.09.2018,"590,00","590,00","590,00","590,00","0,00",200,118.0,118.0
04.09.2018,"590,00","590,00","590,00","590,00","0,00",208,122.72,122.72
05.09.2018,"590,00","590,00","590,00","590,00","0,00",68,40.12,40.12
06.09.2018,"590,00","590,00","590,00","590,00","0,00",20,11.8,11.8
10.09.2018,"607,00","607,00","607,00","607,00","2,88",1.036,628.852,628.852
16.10.2018,"607,00","607,00","607,00","607,00","0,00",28,16.996,16.996
10.12.2018,"607,00","607,00","607,00","607,00","0,00",85,51.595,51.595
10.05.2019,"607,00","607,00","607,00","607,00","0,00",39,23.673,23.673
16.09.2019,"607,00","607,00","607,00","607,00","0,00",67,40.669,40.669
22.10.2019,"607,00","607,00","607,00","607,00","0,00",19,11.533,11.533
08.01.2021,"607,00","607,00","607,00","607,00","0,00",85,51.595,51.595
30.03.2021,"607,00","607,00","607,00","607,00","0,00",33,20.031,20.031
01.04.2021,"607,00","607,00","607,00","607,00","0,00",23,13.961,13.961
06.04.2021,"607,00","607,00","607,00","607,00","0,00",76,46.132,46.132
08.04.2021,"607,00","607,00","607,00","607,00","0,00",21,12.747,12.747
09.04.2021,"607,00","607,00","607,00","607,00","0,00",27,16.389,16.389
15.04.2021,"607,00","607,00","607,00","607,00","0,00",96,58.272,58.272
16.04.2021,"607,00","607,00","607,00","607,00","0,00",41,24.887,24.887
20.04.2021,"607,00","607,00","607,00","607,00","0,00",110,66.77,66.77
22.04.2021,"607,00","607,00","607,00","607,00","0,00",52,31.564,31.564
28.04.2021,"607,00","607,00","607,00","607,00","0,00",28,16.996,16.996
06.05.2021,"607,00","607,00","607,00","607,00","0,00",100,60.7,60.7
10.05.2021,"607,00","607,00","607,00","607,00","0,00",17,10.319,10.319
11.05.2021,"607,00","607,00","607,00","607,00","0,00",55,33.385,33.385
17.05.2021,"607,00","607,00","607,00","607,00","0,00",26,15.782,15.782
19.05.2021,"607,00","607,00","607,00","607,00","0,00",33,20.031,20.031
21.05.2021,"607,00","607,00","607,00","607,00","0,00",18,10.926,10.926
27.05.2021,"607,00","607,00","607,00","607,00","0,00",22,13.354,13.354
01.06.2021,"607,00","607,00","607,00","607,00","0,00",18,10.926,10.926
03.06.2021,"607,00","607,00","607,00","607,00","0,00",73,44.311,44.311
09.06.2021,"607,00","607,00","607,00","607,00","0,00",60,36.42,36.42
