Датум,Цена на последна трансакција,Мак.,Мин.,Просечна цена,%пром.,Количина,Промет во БЕСТ во денари,Вкупен промет во денари
27.04.2015,"5.000,00","5.000,00","5.000,00","5.000,00","0,00",21,105.0,105.0
30.07.2021,"2.500,00","2.500,00","2.500,00","2.500,00","-50,00",6,15.0,15.0
13.09.2021,"3.208,00","3.208,00","3.208,00","3.208,00","28,32",13,41.704,41.704
03.11.2021,"3.112,00","3.112,00","3.112,00","3.112,00","-2,99",49,152.488,152.488
05.11.2021,"3.019,00","3.019,00","3.019,00","3.019,00","-2,99",75,226.425,226.425
26.11.2021,"2.929,00","2.929,00","2.929,00","2.929,00","-2,98",16,46.864,46.864
23.02.2022,"2.899,00","2.899,00","2.899,00","2.899,00","-1,02",6,17.394,17.394
16.05.2022,"2.899,00","2.899,00","2.899,00","2.899,00","0,00",24,69.576,69.576
16.06.2022,"2.850,00","2.850,00","2.850,00","2.850,00","-1,69",36,102.6,102.6
13.09.2022,"2.000,00","2.000,00","2.000,00","2.000,00","-29,82",49,98.0,98.0
10.11.2022,"2.060,00","2.060,00","2.060,00","2.060,00","3,00",39,80.34,80.34
29.11.2022,"2.100,00","2.100,00","2.100,00","2.100,00","1,94",27,56.7,56.7
23.12.2022,"2.500,00","2.500,00","2.500,00","2.500,00","19,05",8,20.0,20.0
07.02.2023,"2.504,00","2.504,00","2.504,00","2.504,00","0,16",61,152.744,152.744
08.02.2023,"2.605,00","2.605,00","2.605,00","2.605,00","4,03",13,33.865,33.865
23.02.2023,"3.050,00","3.050,00","3.050,00","3.050,00","17,08",39,118.95,118.95
24.02.2023,"3.100,00","3.100,00","3.100,00","3.100,00","1,64",21,65.1,65.1
14.03.2023,"3.650,00","3.650,00","3.650,00","3.650,00","17,74",50,182.5,182.5
15.06.2023,"2.800,00","2.800,00","2.800,00","2.800,00","-23,29",224,627.2,627.2
26.06.2023,"2.716,00","2.716,00","2.716,00","2.716,00","-3,00",5,13.58,13.58
01.12.2023,"2.750,00","2.750,00","2.750,00","2.750,00","1,25",8,22.0,22.0
07.02.2024,"3.500,00","3.500,00","3.500,00","3.500,00","27,27",10,35.0,35.0
08.02.2024,"3.500,00","3.500,00","3.500,00","3.500,00","0,00",36,126.0,126.0
09.02.2024,"4.000,00","4.000,00","4.000,00","4.000,00","14,29",15,60.0,60.0
23.02.2024,"4.299,00","4.299,00","4.299,00","4.299,00","7,48",8,34.392,34.392
26.03.2024,"3.802,00","3.802,00","3.802,00","3.802,00","-11,56",8,30.416,30.416
14.06.2024,"3.601,00","3.601,00","3.601,00","3.601,00","-5,29",19,68.419,68.419
25.06.2024,"3.600,00","3.600,00","3.600,00","3.600,00","-0,03",16,57.6,57.6
04.07.2024,"3.780,00","3.780,00","3.780,00","3.780,00","5,00",30,113.4,113.4
10.07.2024,"3.800,00","3.800,00","3.800,00","3.800,00","0,53",100,380.0,380.0
11.07.2024,"3.800,00","3.800,00","3.800,00","3.800,00","0,00",155,589.0,589.0
19.07.2024,"3.700,00","3.700,00","3.700,00","3.700,00","-2,63",166,614.2,614.2
26.07.2024,"3.700,00","3.700,00","3.700,00","3.700,00","0,00",46,170.2,170.2
23.08.2024,"3.700,00","3.700,00","3.700,00","3.700,00","0,00",10,37.0,37.0
26.08.2024,"3.700,00","3.700,00","3.700,00","3.700,00","0,00",110,407.0,407.0
27.08.2024,"3.700,00","3.700,00","3.700,00","3.700,00","0,00",146,540.2,540.2
13.09.2024,"3.702,00","3.702,00","3.702,00","3.702,00","0,05",19,70.338,70.338
16.09.2024,"3.700,00","3.700,00","3.700,00","3.700,00","-0,05",24,88.8,88.8
18.09.2024,"3.699,00","3.699,00","3.699,00","3.699,00","-0,03",119,440.181,440.181
24.09.2024,"3.699,00","3.699,00","3.690,00","3.696,66","-0,06",50,184.833,184.833
25.09.2024,"3.699,00","3.699,00","3.695,00","3.696,18","-0,01",197,728.148,728.148
26.09.2024,"3.900,00","3.900,00","3.699,00","3.774,50","2,12",40,150.98,150.98
03.10.2024,"3.700,00","3.700,00","3.700,00","3.700,00","-1,97",166,614.2,614.2
24.10.2024,"3.700,00","3.700,00","3.700,00","3.700,00","0,00",19,70.3,70.3
13.11.2024,"3.702,00","3.703,00","3.702,00","3.702,30","0,02",82,303.589,303.589
